Country,Year,Female_Enrollment,Female_Graduation_Rate,ECS_Fields
Germany,2003,45.1,43.4,Computer Science
Germany,2003,52.5,57.9,Engineering
Germany,2004,35.4,33.9,Engineering
Germany,2007,31.6,39.8,Computer Science
Germany,2007,41.1,51.3,Computer Science
Germany,2007,46.3,23.4,Computer Science
Germany,2007,57.1,20.5,Engineering
Germany,2008,25.9,43,Engineering
Germany,2008,49.5,17.8,Computer Science
Germany,2010,34.7,34.2,Engineering
Germany,2012,22.4,14.5,Engineering
Germany,2012,40,56.3,Computer Science
Germany,2012,40.8,49.2,Computer Science
Germany,2014,53.6,17.1,Computer Science
Germany,2015,20.6,61.9,Engineering
Germany,2016,39.3,64.9,Engineering
Germany,2016,40,51.6,Computer Science
Germany,2016,60.5,48.9,Engineering
Germany,2017,56.5,14,Computer Science
Germany,2018,54.5,23.7,Computer Science
Germany,2018,56.6,25,Engineering
Germany,2019,21.5,64.1,Computer Science
Germany,2019,41,17,Engineering
Germany,2019,43.4,34.3,Engineering
Germany,2019,68.4,42.3,Engineering
Germany,2020,39.2,28.3,Engineering
Germany,2021,45.8,10.9,Computer Science
Germany,2021,51.6,54.8,Engineering
Germany,2022,22.9,44.9,Engineering
Germany,2023,20.9,63.9,Computer Science
Germany,2023,34.8,21.3,Computer Science
Germany,2023,36.4,24.5,Computer Science
Germany,2023,37.3,49.3,Computer Science
Germany,2023,69.4,24.1,Computer Science
India,2000,29.5,38.1,Engineering
India,2000,61.6,51.2,Engineering
India,2001,20.4,18.2,Engineering
India,2001,37.7,23.4,Computer Science
India,2001,53,54.5,Computer Science
India,2002,35.6,24,Engineering
India,2003,36.8,42.9,Computer Science
India,2003,42.6,21.2,Engineering
India,2003,49.6,22,Computer Science
India,2003,61.8,22.5,Computer Science
India,2004,23.3,56.6,Engineering
India,2004,44.6,32,Computer Science
India,2005,37,64.6,Computer Science
India,2005,47.1,30.9,Computer Science
India,2005,55.9,35.3,Computer Science
India,2005,61.6,12.1,Computer Science
India,2005,65.7,22.2,Engineering
India,2006,26.4,51.1,Computer Science
India,2007,57.9,48.8,Engineering
India,2008,27.6,49.1,Computer Science
India,2009,48,32.8,Computer Science
India,2010,21.5,19.2,Computer Science
India,2010,46.1,12.8,Engineering
India,2010,59.1,61.2,Engineering
India,2013,21.1,39.5,Computer Science
India,2013,42.4,51.7,Engineering
India,2014,36.3,22.4,Computer Science
India,2014,49.5,62.6,Engineering
India,2015,56.9,63.8,Engineering
India,2016,28.6,58.9,Engineering
India,2016,45.3,40.6,Engineering
India,2017,48.2,53.4,Engineering
India,2018,65.1,19.5,Computer Science
India,2019,38.4,25.2,Computer Science
India,2020,33,25.5,Engineering
India,2022,23.8,46,Computer Science
India,2022,35.6,19.6,Engineering
India,2022,41.5,61.9,Computer Science
India,2022,53.4,49.8,Computer Science
India,2022,69.5,31.6,Engineering
India,2023,20.4,28,Computer Science
India,2023,22.1,25.6,Engineering
India,2023,26.7,15,Computer Science
USA,2000,50.5,27,Computer Science
USA,2002,37.5,17.7,Engineering
USA,2002,43.5,62.4,Engineering
USA,2002,53.2,26.4,Computer Science
USA,2003,63.2,12,Engineering
USA,2004,47.5,64.1,Computer Science
USA,2005,22.6,21.2,Engineering
USA,2006,20.7,22.4,Engineering
USA,2006,36.6,45.7,Computer Science
USA,2007,38.7,40.4,Engineering
USA,2008,28.8,22.6,Computer Science
USA,2008,49.2,47.2,Computer Science
USA,2009,51.1,51.9,Computer Science
USA,2009,59.7,34.9,Engineering
USA,2010,50.6,50.9,Engineering
USA,2010,68.2,22.3,Engineering
USA,2012,62.2,27.4,Computer Science
USA,2012,63.5,43.3,Computer Science
USA,2014,28.7,49.3,Computer Science
USA,2014,33.6,60.2,Engineering
USA,2014,41.8,50,Engineering
USA,2015,32,48.5,Computer Science
USA,2016,38.7,12.6,Engineering
USA,2017,29.7,11.4,Engineering
USA,2017,41.7,39,Engineering
USA,2017,51,50.8,Engineering
USA,2017,53.4,32.6,Computer Science
USA,2019,58.3,61.6,Engineering
USA,2019,59.5,28.3,Computer Science
USA,2020,67.2,31.1,Computer Science
USA,2021,32.4,59.2,Engineering
USA,2022,22.1,61.1,Engineering
USA,2022,30.9,11.4,Engineering
USA,2022,59.3,55.5,Engineering
USA,2023,26.7,22.8,Engineering
USA,2023,32.4,11,Computer Science
